alert_id,timestamp,employee_id,hostname,severity,alert_type,mitre_attack,source_ip,destination_ip,description
ALT000001,2026-06-02 04:12:28.129773,EMP00342,HOST0136,Low,Data Exfiltration,T1021,192.168.139.227,10.8.208.155,Privilege Escalation detected on HOST0136
ALT000002,2026-07-22 17:06:28.129773,EMP00075,HOST0117,Medium,Malware Detection,T1562,172.17.123.207,10.107.95.49,Credential Dumping detected on HOST0117
ALT000003,2026-07-21 12:46:28.129773,EMP00408,HOST0114,High,Ransomware Activity,T1059,10.249.220.45,10.156.203.226,Suspicious PowerShell detected on HOST0114
ALT000004,2026-06-23 05:57:28.129773,EMP00373,HOST0111,Medium,Data Exfiltration,T1041,192.168.30.121,10.38.21.166,Data Exfiltration detected on HOST0111
ALT000005,2026-07-19 00:38:28.129773,EMP00431,HOST0096,Low,Data Exfiltration,T1021,192.168.208.131,10.216.218.214,Data Exfiltration detected on HOST0096
ALT000006,2026-05-02 15:34:28.129773,EMP00220,HOST0110,Low,Suspicious PowerShell,T1562,192.168.86.35,10.222.116.184,Suspicious PowerShell detected on HOST0110
ALT000007,2026-07-07 20:23:28.129773,EMP00197,HOST0184,Low,Suspicious PowerShell,T1041,172.17.73.251,10.103.199.254,Data Exfiltration detected on HOST0184
ALT000008,2026-06-16 23:16:28.129773,EMP00403,HOST0012,Low,Credential Dumping,T1486,172.24.79.64,10.90.87.144,Suspicious PowerShell detected on HOST0012
ALT000009,2026-05-21 03:51:28.129773,EMP00107,HOST0191,Medium,Credential Dumping,T1059,10.244.186.175,10.231.66.125,Credential Dumping detected on HOST0191
ALT000010,2026-05-03 16:33:28.129773,EMP00306,HOST0192,Medium,Data Exfiltration,T1003,192.168.54.7,10.9.79.91,Ransomware Activity detected on HOST0192
ALT000011,2026-07-25 19:07:28.129773,EMP00492,HOST0076,Low,Failed Login,T1486,172.30.255.206,10.132.96.152,Malware Detection detected on HOST0076
ALT000012,2026-06-16 17:20:28.129773,EMP00278,HOST0067,Low,Privilege Escalation,T1562,172.26.148.175,10.251.32.246,Failed Login detected on HOST0067
ALT000013,2026-05-04 23:15:28.129773,EMP00245,HOST0062,Critical,Ransomware Activity,T1021,192.168.59.104,10.109.244.169,Credential Dumping detected on HOST0062
ALT000014,2026-07-22 17:58:28.129773,EMP00340,HOST0107,Critical,Privilege Escalation,T1003,10.5.12.61,10.76.80.135,Suspicious PowerShell detected on HOST0107
ALT000015,2026-07-22 07:47:28.129773,EMP00142,HOST0074,Medium,Malware Detection,T1562,10.75.93.227,10.14.211.156,Failed Login detected on HOST0074
ALT000016,2026-06-14 19:40:28.129773,EMP00231,HOST0003,Critical,Data Exfiltration,T1486,10.6.248.205,10.253.116.180,Data Exfiltration detected on HOST0003
ALT000017,2026-07-17 12:38:28.129773,EMP00359,HOST0131,Medium,Failed Login,T1486,172.30.82.0,10.17.138.6,Malware Detection detected on HOST0131
ALT000018,2026-05-24 04:35:28.129773,EMP00467,HOST0006,High,Credential Dumping,T1078,192.168.176.37,10.240.123.199,Credential Dumping detected on HOST0006
ALT000019,2026-06-01 08:20:28.129773,EMP00386,HOST0042,High,Malware Detection,T1562,192.168.189.179,10.251.171.107,Malware Detection detected on HOST0042
ALT000020,2026-05-02 01:14:28.129773,EMP00182,HOST0192,Low,Privilege Escalation,T1041,192.168.54.7,10.217.159.252,Suspicious PowerShell detected on HOST0192
ALT000021,2026-05-29 10:01:28.129773,EMP00340,HOST0128,Critical,Failed Login,T1003,10.225.120.6,10.16.143.129,Privilege Escalation detected on HOST0128
ALT000022,2026-05-15 09:20:28.129773,EMP00295,HOST0141,Medium,Ransomware Activity,T1562,172.20.180.243,10.210.177.193,Privilege Escalation detected on HOST0141
ALT000023,2026-06-17 02:03:28.129773,EMP00111,HOST0078,Low,Data Exfiltration,T1021,10.43.147.45,10.224.85.164,Ransomware Activity detected on HOST0078
ALT000024,2026-06-09 17:29:28.129773,EMP00367,HOST0151,Medium,Malware Detection,T1003,172.17.222.51,10.19.127.187,Suspicious PowerShell detected on HOST0151
ALT000025,2026-05-03 06:13:28.129773,EMP00384,HOST0082,High,Credential Dumping,T1486,10.237.223.205,10.221.111.232,Data Exfiltration detected on HOST0082
ALT000026,2026-07-11 03:58:28.129773,EMP00012,HOST0044,High,Data Exfiltration,T1021,172.30.182.145,10.171.62.155,Data Exfiltration detected on HOST0044
ALT000027,2026-07-27 13:23:28.129773,EMP00375,HOST0068,Low,Failed Login,T1562,10.220.235.31,10.84.4.249,Credential Dumping detected on HOST0068
